Datetime,Open,High,Low,Close,Adj Close,Volume
2021-05-26 08:02:00+01:00,40560.55,40560.55,40560.55,40560.55,40560.55,0
2021-05-26 08:03:00+01:00,40480.57,40480.57,40480.57,40480.57,40480.57,0
2021-05-26 08:04:00+01:00,40470.65,40470.65,40470.65,40470.65,40470.65,0
2021-05-26 08:05:00+01:00,40479.04,40479.04,40479.04,40479.04,40479.04,4751360
2021-05-26 08:06:00+01:00,40470.23,40470.23,40470.23,40470.23,40470.23,3186688
2021-05-26 08:07:00+01:00,40439.48,40439.48,40439.48,40439.48,40439.48,0
2021-05-26 08:08:00+01:00,40428.75,40428.75,40428.75,40428.75,40428.75,0
2021-05-26 08:09:00+01:00,40423.55,40423.55,40423.55,40423.55,40423.55,0
2021-05-26 08:10:00+01:00,40416.15,40416.15,40416.15,40416.15,40416.15,15343616
2021-05-26 08:12:00+01:00,40442.74,40442.74,40442.74,40442.74,40442.74,19152896
2021-05-26 08:13:00+01:00,40429.2,40429.2,40429.2,40429.2,40429.2,8593408
2021-05-26 08:14:00+01:00,40446.92,40446.92,40446.92,40446.92,40446.92,0
2021-05-26 08:15:00+01:00,40445.36,40445.36,40445.36,40445.36,40445.36,0
2021-05-26 08:16:00+01:00,40531.22,40531.22,40531.22,40531.22,40531.22,171655168
2021-05-26 08:17:00+01:00,40477.37,40477.37,40477.37,40477.37,40477.37,25075712
2021-05-26 08:18:00+01:00,40416.33,40416.33,40416.33,40416.33,40416.33,0
2021-05-26 08:19:00+01:00,40360.21,40360.21,40360.21,40360.21,40360.21,0
2021-05-26 08:20:00+01:00,40410.82,40410.82,40410.82,40410.82,40410.82,3416064
2021-05-26 08:21:00+01:00,40413.74,40413.74,40413.74,40413.74,40413.74,24752128
2021-05-26 08:22:00+01:00,40421.13,40421.13,40421.13,40421.13,40421.13,12345344
2021-05-26 08:23:00+01:00,40434.45,40434.45,40434.45,40434.45,40434.45,8785920
2021-05-26 08:24:00+01:00,40438.67,40438.67,40438.67,40438.67,40438.67,5566464
2021-05-26 08:25:00+01:00,40435.15,40435.15,40435.15,40435.15,40435.15,38789120
2021-05-26 08:26:00+01:00,40454.39,40454.39,40454.39,40454.39,40454.39,2916352
2021-05-26 08:27:00+01:00,40419.15,40419.15,40419.15,40419.15,40419.15,7204864
2021-05-26 08:28:00+01:00,40420.29,40420.29,40420.29,40420.29,40420.29,0
2021-05-26 08:29:00+01:00,40458.77,40458.77,40458.77,40458.77,40458.77,5255168
2021-05-26 08:30:00+01:00,40421.42,40421.42,40421.42,40421.42,40421.42,17043456
2021-05-26 08:31:00+01:00,40437.95,40437.95,40437.95,40437.95,40437.95,0
2021-05-26 08:32:00+01:00,40472.84,40472.84,40472.84,40472.84,40472.84,14532608
2021-05-26 08:33:00+01:00,40490.14,40490.14,40490.14,40490.14,40490.14,22560768
2021-05-26 08:34:00+01:00,40487.5,40487.5,40487.5,40487.5,40487.5,72216576
2021-05-26 08:35:00+01:00,40474.26,40474.26,40474.26,40474.26,40474.26,0
2021-05-26 08:36:00+01:00,40471.34,40471.34,40471.34,40471.34,40471.34,0
2021-05-26 08:37:00+01:00,40560.36,40560.36,40560.36,40560.36,40560.36,8384512
2021-05-26 08:38:00+01:00,40502.02,40502.02,40502.02,40502.02,40502.02,40669184
2021-05-26 08:39:00+01:00,40497.2,40497.2,40497.2,40497.2,40497.2,0
2021-05-26 08:40:00+01:00,40542.49,40542.49,40542.49,40542.49,40542.49,58884096
2021-05-26 08:41:00+01:00,40509.86,40509.86,40509.86,40509.86,40509.86,13881344
2021-05-26 08:42:00+01:00,40498.4,40498.4,40498.4,40498.4,40498.4,0
2021-05-26 08:43:00+01:00,40525.89,40525.89,40525.89,40525.89,40525.89,16982016
2021-05-26 08:44:00+01:00,40558.21,40558.21,40558.21,40558.21,40558.21,24756224
2021-05-26 08:45:00+01:00,40546.55,40546.55,40546.55,40546.55,40546.55,18939904
